application_type,comparison_basis,low_bias_label,high_bias_label,VDS_low_V,VDS_high_V,nominal_VDD_V,Vth_current_multiplier,Vth_base_normalized_current_A,Vth_normalized_current_A,Vth_target_ID_A,Vth_low_V,Vth_high_V,DIBL_mV_per_V,Vth_low_shift_mV,Vth_high_shift_mV,DIBL_change_mV_per_V,Vth_method,Vth_interpolation
HP,common_vdd,low_vds,nominal_vdd,0.05,1,1,0.1,1e-07,1e-08,2.22222222222e-07,0.229007593515,0.0919022125976,144.321453598,-94.6388001021,-92.893634452,-1.83701647376,constant_current,log10_id_linear
HP,common_vdd,low_vds,nominal_vdd,0.05,1,1,0.3,1e-07,3e-08,6.66666666667e-07,0.272920840359,0.135220136095,144.948109751,-50.7255532588,-49.5757109542,-1.21036032061,constant_current,log10_id_linear
HP,common_vdd,low_vds,nominal_vdd,0.05,1,1,1,1e-07,1e-07,2.22222222222e-06,0.323646393618,0.18479584705,146.158470072,0,0,0,constant_current,log10_id_linear
HP,common_vdd,low_vds,nominal_vdd,0.05,1,1,3,1e-07,3e-07,6.66666666667e-06,0.373985369709,0.233207147112,148.187602734,50.3389760915,48.4113000626,2.02913266207,constant_current,log10_id_linear
HP,common_vdd,low_vds,nominal_vdd,0.05,1,1,10,1e-07,1e-06,2.22222222222e-05,0.438306286565,0.29220820283,153.787456563,114.659892947,107.41235578,7.62898649113,constant_current,log10_id_linear
LP,common_vdd,low_vds,common_1v,0.05,1,1.1,0.1,1e-07,1e-08,2.22222222222e-07,0.426521185568,0.356342007195,73.8728193403,-103.871825003,-101.222054314,-2.78923230373,constant_current,log10_id_linear
LP,common_vdd,low_vds,common_1v,0.05,1,1.1,0.3,1e-07,3e-08,6.66666666667e-07,0.473987078214,0.402957033941,74.7684676562,-56.4059323573,-54.6070275689,-1.89358398777,constant_current,log10_id_linear
LP,common_vdd,low_vds,common_1v,0.05,1,1.1,1,1e-07,1e-07,2.22222222222e-06,0.530393010572,0.45756406151,76.662051644,0,0,0,constant_current,log10_id_linear
LP,common_vdd,low_vds,common_1v,0.05,1,1.1,3,1e-07,3e-07,6.66666666667e-06,0.588978716271,0.511955773724,81.0767816288,58.5857056999,54.3917122143,4.41472998482,constant_current,log10_id_linear
LP,common_vdd,low_vds,common_1v,0.05,1,1.1,10,1e-07,1e-06,2.22222222222e-05,0.675726033509,0.580881922911,99.8359058923,145.333022937,123.317861401,23.1738542483,constant_current,log10_id_linear
LP,model_nominal_vdd,low_vds,nominal_vdd,0.05,1.1,1.1,0.1,1e-07,1e-08,2.22222222222e-07,0.426521185568,0.349485498093,73.3673214048,-103.871825003,-101.156103897,-2.58640105316,constant_current,log10_id_linear
LP,model_nominal_vdd,low_vds,nominal_vdd,0.05,1.1,1.1,0.3,1e-07,3e-08,6.66666666667e-07,0.473987078214,0.396070832185,74.2059485994,-56.4059323573,-54.5707698058,-1.74777385855,constant_current,log10_id_linear
LP,model_nominal_vdd,low_vds,nominal_vdd,0.05,1.1,1.1,1,1e-07,1e-07,2.22222222222e-06,0.530393010572,0.450641601991,75.953722458,0,0,0,constant_current,log10_id_linear
LP,model_nominal_vdd,low_vds,nominal_vdd,0.05,1.1,1.1,3,1e-07,3e-07,6.66666666667e-06,0.588978716271,0.505000730774,79.9790338071,58.5857056999,54.3591287833,4.02531134907,constant_current,log10_id_linear
LP,model_nominal_vdd,low_vds,nominal_vdd,0.05,1.1,1.1,10,1e-07,1e-06,2.22222222222e-05,0.675726033509,0.573866331206,97.0092402886,145.333022937,123.224729215,21.0555178307,constant_current,log10_id_linear
